Client,Tactic,Imps,Clicks,CTR,Conversions,Sales
Client A,Consideration,122978,148,0.12,914,0
Client A,NCACONVERSION,13965,32,0.23,179,290.4
Client A,LOYALTYCONVERSION,6089,3,0.05,32,1218.14
Client A,Consideration,2086,1,0.05,17,0
Client A,LOYALTYCONVERSION,344,0,0,2,0
Client A,NCACONVERSION,247,0,0,68,192.1
Client B,Consideration,152843,326,0.21,599,1399.14
Client B,Consideration,29386,82,0.28,251,756.39
Client C,Consideration,1312977,2103,0.16,679,0
Client C,Awareness,1305000,1183,0.09,800,1165
Client C,Consideration,610293,905,0.15,865,240
Client C,Consideration,516996,1092,0.21,561,10
Client C,Awareness,400228,511,0.13,496,10
Client C,Awareness,345435,10,0,673,2840
Client C,Consideration,132780,593,0.45,129,0
Client C,NCACONVERSION,109154,191,0.17,879,1010
Client C,Consideration,82092,188,0.23,618,0
Client C,NCACONVERSION,79822,174,0.22,947,420
Client C,NCACONVERSION,48277,140,0.29,484,0
Client C,NCACONVERSION,13151,9,0.07,61,0
Client C,Consideration,5434,4,0.07,96,0
Client C,Conversion,1975,0,0,378,2785
Client C,Conversion,365,1,0.27,151,3500
Client D,Consideration,496129,2058,0.41,4110,729.38
Client D,NCACONVERSION,183168,1011,0.55,1459,839.44
Client D,LOYALTYCONVERSION,56484,63,0.11,652,5466.29
Client D,NCACONVERSION,49653,593,1.19,366,228.44
Client D,NCACONVERSION,4573,25,0.55,118,566.33
Client D,LOYALTYCONVERSION,2883,4,0.14,110,2071.02
Client D,Consideration,2865,31,1.08,144,55.04
Client D,NCACONVERSION,1183,18,1.52,29,76.18
Client E,Awareness,643664,35,0.01,847,32233.78
Client E,Awareness,194119,22,0.01,543,4962.13
Client F,Consideration,57132,151,0.26,522,0
Client F,Consideration,49733,194,0.39,774,0
Client F,Conversion,2975,26,0.87,0,0
Client F,Conversion,2906,31,1.07,0,0
Client F,Conversion,752,3,0.4,0,0
Client F,Conversion,746,3,0.4,0,0
Client G,Awareness,486567,8,0,764,3897.83
Client G,Consideration,174358,4365,2.5,2096,294.91
Client G,Consideration,79634,272,0.34,1546,280
Client G,Awareness,74786,14,0.02,703,5639.45
Client G,Consideration,68619,442,0.64,212,158.07
Client G,NCACONVERSION,45613,690,1.51,767,1370.3
Client G,LOYALTYCONVERSION,23002,194,0.84,151,881.21
Client G,NCACONVERSION,21684,55,0.25,322,872.44
Client G,NCACONVERSION,11344,24,0.21,104,556.84
Client G,LOYALTYCONVERSION,9895,41,0.41,132,288.01
Client G,LOYALTYCONVERSION,9640,7,0.07,65,328.45
Client G,Consideration,3604,160,4.44,103,279.35
Client G,NCACONVERSION,1083,29,2.68,242,989.85
Client G,NCACONVERSION,959,0,0,112,404.78
Client G,LOYALTYCONVERSION,384,0,0,36,140.29
Client G,LOYALTYCONVERSION,249,0,0,63,507.4
Client H,Awareness,1328307,422,0.03,5358,184611.05
Client H,Consideration,334580,895,0.27,682,2285
Client H,Consideration,333110,768,0.23,2127,920
Client H,Awareness,176177,33,0.02,2275,46335.37
Client H,NCACONVERSION,142167,1328,0.93,1793,5717
Client H,NCACONVERSION,106552,2276,2.14,1285,5476.8
Client H,LOYALTYCONVERSION,38934,74,0.19,483,7105
Client H,LOYALTYCONVERSION,31503,137,0.43,697,7181
Client H,Consideration,15660,50,0.32,109,663
Client H,NCACONVERSION,5745,95,1.65,475,4307
Client H,NCACONVERSION,1707,39,2.28,128,765
Client H,LOYALTYCONVERSION,1037,3,0.29,177,2999.8
Client A,Awareness,543540,2,0,288,4938
Client A,Consideration,331558,819,0.25,223,430
Client A,LOYALTYCONVERSION,308183,290,0.09,481,18301
Client A,NCACONVERSION,293029,263,0.09,883,27058.8
Client A,NCACONVERSION,111262,126,0.11,719,28128
Client A,Consideration,103726,385,0.37,132,685
Client A,Awareness,84201,5,0.01,4,0
Client A,LOYALTYCONVERSION,73675,94,0.13,38,390
Client A,Consideration,39819,56,0.14,401,0
Client A,Consideration,38543,72,0.19,871,0
Client A,NCACONVERSION,37123,61,0.16,278,5548.5
Client A,NCACONVERSION,37045,39,0.11,520,18133.5
Client A,LOYALTYCONVERSION,31244,131,0.42,228,11856
Client A,LOYALTYCONVERSION,29915,50,0.17,193,6440
Client A,NCACONVERSION,29142,56,0.19,170,8612
Client A,NCACONVERSION,14305,16,0.11,25,370
Client A,LOYALTYCONVERSION,11564,10,0.09,124,1422
Client A,LOYALTYCONVERSION,5629,8,0.14,8,370
Client A,Consideration,4198,10,0.24,18,480
Client A,NCACONVERSION,3123,0,0,86,2631
Client A,NCACONVERSION,2095,5,0.24,62,2075
Client A,Consideration,1273,1,0.08,41,0
Client A,Consideration,1073,4,0.37,29,0
Client A,LOYALTYCONVERSION,514,0,0,19,806
Client A,LOYALTYCONVERSION,146,1,0.68,26,1285
Client A,Consideration,76,1,1.32,4,190
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
